X_um,btbt_31nm,btbt_36nm,btbt_41nm
0.0,0.0,0.0,0.0
0.001562497,0.0,0.0,0.0
0.0015625,0.0,0.0,0.0
0.003124997,0.0,0.0,0.0
0.003125,0.0,0.0,0.0
0.0046874974,0.0,0.0,0.0
0.0046875002,0.0,0.0,0.0
0.0062499973,0.0,0.0,0.0
0.0062500001,0.0,0.0,0.0
0.0078124972,0.0,0.0,0.0
0.0078125,0.0,0.0,0.0
0.0093749976,0.0,0.0,0.0
0.0093750004,0.0,0.0,0.0
0.010937497,0.0,0.0,0.0
0.0109375,0.0,0.0,0.0
0.012499997,0.0,0.0,0.0
0.0125,0.0,0.0,0.0
0.014062497,0.0,0.0,0.0
0.0140625,0.0,0.0,0.0
0.015624997,0.0,0.0,0.0
0.015625,0.0,0.0,0.0
0.017187497,0.0,0.0,0.0
0.0171875,0.0,0.0,0.0
0.018749997,0.0,0.0,0.0
0.018750001,0.0,0.0,0.0
0.020312496,0.0,0.0,0.0
0.020312499,0.0,0.0,0.0
0.021874996,0.0,0.0,0.0
0.021875,0.0,0.0,0.0
0.023437496,0.0,0.0,0.0
0.0234375,0.0,0.0,0.0
0.024999997,0.0,0.0,0.0
0.025,0.0,0.0,0.0
0.026562497,0.0,0.0,0.0
0.026562501,0.0,0.0,0.0
0.028124996,0.0,0.0,0.0
0.028124999,0.0,0.0,0.0
0.029687496,0.0,0.0,0.0
0.0296875,0.0,0.0,0.0
0.029687505,0.0,0.0,0.0
0.03125,0.0,0.0,0.0
0.032031246,0.0,0.0,0.0
0.032031249,0.0,0.0,0.0
0.032812495,0.0,0.0,0.0
0.032812499,0.0,0.0,0.0
0.033593748,0.0,0.0,0.0
0.033593751,0.0,0.0,0.0
0.034374997,0.0,0.0,0.0
0.034375001,0.0,0.0,0.0
0.035156246,0.0,0.0,0.0
0.03515625,0.0,0.0,0.0
0.035937496,0.0,0.0,0.0
0.035937499,0.0,0.0,0.0
0.036718745,0.0,0.0,0.0
0.036718749,0.0,0.0,0.0
0.037499998,0.0,0.0,0.0
0.037500001,0.0,0.0,0.0
0.038281247,0.0,0.0,0.0
0.038281251,0.0,0.0,0.0
0.039062496,0.0,0.0,0.0
0.0390625,0.0,0.0,0.0
0.039843746,0.0,0.0,0.0
0.039843749,0.0,0.0,0.0
0.040624995,0.0,0.0,0.0
0.040624999,0.0,0.0,0.0
0.041406248,0.0,0.0,0.0
0.041406251,0.0,0.0,0.0
0.042187497,0.0,0.0,0.0
0.042187501,0.0,0.0,0.0
0.042968746,0.0,0.0,0.0
0.04296875,0.0,0.0,0.0
0.043749996,0.0,0.0,0.0
0.043749999,0.0,0.0,0.0
0.044531245,0.0,0.0,0.0
0.044531249,0.0,0.0,0.0
0.045312498,0.0,0.0,0.0
0.045312501,0.0,0.0,0.0
0.046093747,0.0,0.0,0.0
0.046093751,42354099000000.0,0.0,0.0
0.046874996,42354099000000.0,0.0,0.0
0.046875,595957060000000.0,35588573000000.0,0.0
0.047656246,595957060000000.0,35588573000000.0,0.0
0.047656249,3058310000000000.0,619473640000000.0,2255451100000.0
0.048437495,6.3388141e+19,2.3582358e+18,2255451100000.0
0.048437499,6.3394963e+19,2.3609966e+18,198772660000000.0
0.049218748,8.390856e+20,1.7795022e+20,4.9152035e+17
0.049218751,8.3909724e+20,1.7795748e+20,4.9306348e+17
0.049999997,3.6968013e+21,1.4461695e+21,1.338567e+20
0.050000001,3.6968128e+21,1.4461798e+21,1.3386158e+20
0.050781246,8.5566843e+21,4.8410756e+21,1.1839175e+21
0.05078125,8.556689e+21,4.8410829e+21,1.1839246e+21
0.051562496,1.1673607e+22,8.4182472e+21,3.7148347e+21
0.051562499,1.1673603e+22,8.418247e+21,3.714839e+21
0.052343745,9.4215447e+21,8.2790882e+21,5.5526998e+21
0.052343749,9.4215338e+21,8.2790813e+21,5.5526984e+21
0.053124998,3.8613044e+21,4.2100834e+21,4.1471902e+21
0.053125001,3.8612907e+21,4.2100721e+21,4.1471838e+21
0.053906247,9.4928039e+20,1.1062775e+21,1.4328942e+21
0.053906251,9.4927387e+20,1.1062703e+21,1.4328874e+21
0.054687496,2.4411442e+20,2.7429327e+20,3.4750504e+20
0.0546875,2.4411286e+20,2.7429141e+20,3.4750246e+20
0.055468746,8.2054296e+19,8.7464736e+19,9.758101e+19
0.055468749,8.2053808e+19,8.7464216e+19,9.7580399e+19
0.056249995,2.8307587e+19,3.0070113e+19,3.3383453e+19
0.056249999,2.8307415e+19,3.0069929e+19,3.3383245e+19
0.057031248,1.0021688e+19,1.0600216e+19,1.1671631e+19
0.057031251,1.0021626e+19,1.060015e+19,1.1671559e+19
0.057812497,3.5650595e+18,3.7643967e+18,4.1433953e+18
0.057812501,3.5650373e+18,3.7643732e+18,4.143369e+18
0.058593746,1.3022734e+18,1.3679666e+18,1.4920381e+18
0.05859375,1.3022652e+18,1.367958e+18,1.4920286e+18
0.059374996,4.7736331e+17,5.0055412e+17,5.4793973e+17
0.059374999,4.7736029e+17,5.0055093e+17,5.4793622e+17
0.060156245,1.818192e+17,1.8981985e+17,2.0456744e+17
0.060156249,1.8181809e+17,1.8981867e+17,2.0456614e+17
0.060937498,6.7947879e+16,7.1328459e+16,7.7561143e+16
0.060937501,6.7947457e+16,7.1328015e+16,7.7560659e+16
0.061718747,2.4780386e+16,2.6105831e+16,2.8617943e+16
0.061718751,2.4780227e+16,2.6105663e+16,2.8617758e+16
0.062499996,8999667500000000.0,9463235000000000.0,1.0390206e+16
0.0625,8999609700000000.0,9463173600000000.0,1.0390138e+16
0.063281253,3429860000000000.0,3577857700000000.0,3865028400000000.0
0.064062499,1310328700000000.0,1373828600000000.0,1492711300000000.0
0.064843751,484236610000000.0,509471860000000.0,557815440000000.0
0.065624997,175661220000000.0,185119080000000.0,203499950000000.0
0.06640625,63336535000000.0,66796799000000.0,73536616000000.0
0.067187503,22714176000000.0,23941881000000.0,26390699000000.0
0.067968749,8303052000000.0,8723882000000.0,9534242500000.0
0.068750001,3037106900000.0,3202648900000.0,3525395200000.0
0.069531247,1061804600000.0,1124384700000.0,1247806800000.0
0.0703125,228258950000.0,241847950000.0,268612810000.0
0.071874991,73883658000.0,77813787000.0,85492254000.0
0.071874999,73882980000.0,77813066000.0,85491446000.0
0.073437497,7360907100.0,7802112100.0,8676851300.0
0.075000003,714133600.0,763033260.0,860843230.0
0.076562501,60686418.0,65047715.0,73838392.0
0.078125,4985792.8,5339653.0,6052861.3
0.079687499,431674.3,461300.64,520837.46
0.081249997,32057.571,34524.478,39457.022
0.082812503,1783.0564,1933.4261,2241.8099
0.084375001,80.249006,87.406043,102.23825
0.0859375,3.1811363,3.4702897,4.0690961
0.087499999,0.096728453,0.10661934,0.12739954
0.089062497,0.0020291997,0.0022560405,0.002738145
0.090625003,2.9746537e-05,3.3351829e-05,4.1131454e-05
0.092187501,2.7715772e-07,3.1385933e-07,3.9414728e-07
0.09375,1.6846517e-09,1.9253484e-09,2.4566581e-09
0.095312499,5.5348805e-12,6.4190334e-12,8.4212867e-12
0.096874997,8.3053858e-15,9.7989514e-15,1.3264355e-14
0.098437503,4.551442599999999e-18,5.470579899999999e-18,7.664779399999999e-18
0.1,6.3200943e-22,7.817575800000001e-22,1.1534941000000001e-21
0.1015625,1.1544399000000001e-26,1.497336e-26,2.4085527000000002e-26
0.103125,6.8198179e-33,9.6123013e-33,1.7962532e-32
0.1046875,0.0,0.0,0.0
0.10625,0.0,0.0,0.0
0.1078125,0.0,0.0,0.0
0.109375,0.0,0.0,0.0
0.1109375,0.0,0.0,0.0
0.1125,0.0,0.0,0.0
0.1140625,0.0,0.0,0.0
0.115625,0.0,0.0,0.0
0.1171875,0.0,0.0,0.0
0.11875,0.0,0.0,0.0
0.1203125,0.0,0.0,0.0
0.121875,0.0,0.0,0.0
0.1234375,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.12656251,0.0,0.0,0.0
0.128125,0.0,0.0,0.0
0.1296875,0.0,0.0,0.0
0.13124999,0.0,0.0,0.0
0.1328125,0.0,0.0,0.0
0.13437501,0.0,0.0,0.0
0.1359375,0.0,0.0,0.0
0.1375,0.0,0.0,0.0
0.13906249,0.0,0.0,0.0
0.140625,0.0,0.0,0.0
0.14375,0.0,0.0,0.0
0.15000001,0.0,0.0,0.0
0.153125,0.0,0.0,0.0
0.15625,0.0,0.0,0.0
0.159375,0.0,0.0,0.0
0.16249999,0.0,0.0,0.0
0.16562501,0.0,0.0,0.0
0.16875,0.0,0.0,0.0
0.171875,0.0,0.0,0.0
0.175,0.0,0.0,0.0
0.17812501,0.0,0.0,0.0
0.18125001,0.0,0.0,0.0
0.184375,0.0,0.0,0.0
0.1875,0.0,0.0,0.0
0.190625,0.0,0.0,0.0
0.19374999,0.0,0.0,0.0
0.19687501,0.0,0.0,0.0
0.2,0.0,0.0,0.0
