X_um,abse_31nm,abse_36nm,abse_41nm
0.1015625,184376.36,184684.27,185251.63
0.103125,175202.56,175489.81,176019.19
0.1046875,166375.56,166642.22,167133.71
0.10625,157843.83,158090.12,158544.1
0.1078125,149517.94,149744.19,150161.27
0.109375,141265.28,141471.95,141852.93
0.1109375,132914.31,133101.95,133447.84
0.1125,124278.51,124447.81,124759.89
0.1140625,115212.53,115364.42,115644.42
0.115625,105700.88,105836.67,106086.97
0.1171875,95942.741,96064.136,96287.903
0.11875,86344.791,86453.818,86654.791
0.1203125,77355.974,77454.627,77636.483
0.121875,69202.208,69292.051,69457.676
0.1234375,61873.195,61955.347,62106.799
0.125,55305.083,55380.405,55519.271
0.12656251,49442.128,49511.347,49638.965
0.128125,44231.913,44295.668,44413.213
0.1296875,39618.521,39677.374,39785.885
0.13124999,35542.23,35596.674,35697.057
0.1328125,31942.389,31992.849,32085.888
0.13437501,28760.467,28807.308,28893.675
0.1359375,25942.268,25985.8,26066.068
0.1375,23439.204,23479.693,23554.351
0.13906249,21209.44,21247.114,21316.583
0.140625,19360.245,19395.309,19459.965
0.14375,14887.748,14916.347,14969.08
0.15000001,11592.749,11616.345,11659.854
0.153125,9325.5358,9345.016,9380.9406
0.15625,7797.0125,7813.6144,7844.2296
0.159375,6368.7218,6382.5516,6408.057
0.16249999,5407.5645,5419.4971,5441.5025
0.16562501,4393.9654,4403.8059,4421.9543
0.16875,3719.5839,3727.9744,3743.448
0.171875,3011.7724,3018.6439,3031.3166
0.175,2539.0213,2544.8269,2555.5333
0.17812501,2056.7699,2061.5186,2070.2761
0.18125001,1730.386,1734.3832,1741.7544
0.184375,1416.0534,1419.3577,1425.4513
0.1875,1199.2084,1202.0133,1207.1856
0.190625,1018.0918,1020.5002,1024.9412
0.19374999,890.42529,892.54433,896.4517
0.19687501,802.2608,804.19546,807.76286
0.2,736.89921,738.69377,742.00277
