metric,change_31_to_41_pct
GIDL endpoint,-60.415226542701696
BTBTmax,-52.433726782133405
1D integrated BTBT,-57.743415206188864
20% BTBT-active width,-12.677662909601429
20% active-region int(|E| dx),-14.675909005716282
hotspot-cut |E| peak,-3.5212216971914567
old fixed E_wall,max,-1.6943444635176164
ElectricField-X peak,8.155086091818164
